AuthorNames-Deduped,AminerCitationCount_02-2019,XPloreCitationCount_02-2019
Jean-Daniel Fekete;Catherine Plaisant,301,76
Helwig Hauser;Florian Ledermann;Helmut Doleisch,264,80
Nathan Conklin;Sandeep Prabhakar;Chris North,28,6
Yehuda Koren;Liran Carmel;David Harel,158,26
Ulrik Brandes;Steven R. Corman,195,16
Alistair Morrison;Greg Ross;Matthew Chalmers,88,20
Mei C. Chuah,50,1
Alan Keahey;Stephen G. Eick,,3
Stephen M. Kosslyn,1,0
Bernhard Preim;Christian Tietjen;Wolf Spindler;Heinz-Otto Peitgen,61,9
Steffen Prohaska;Hans-Christian Hege,50,9
Armin Kanitsar;Dominik Fleischmann;Rainer Wegenkittl;Petr Felkel;M. Eduard GrÃ¶ller,225,47
Youwei Zhang;Robert Rohling;Dinesh K. Pai,48,7
Stefan Guthe;Michael Wand;Julius Gonser;Wolfgang StraÃŸer,296,62
Eric Luke;Charles D. Hansen,87,27
Gokul Varadhan;Dinesh Manocha,7,21
Jihad El-Sana;Eitan Bachmant,50,9
Caixia Zhang;Roger Crawfis,50,5
Daniel Weiskopf;Klaus Engel;Thomas Ertl,96,16
Steven Bergner;Torsten MÃ¶ller;Mark S. Drew;Graham D. Finlayson,33,4
Joe Michael Kniss;Simon Premoze;Charles D. Hansen;David S. Ebert,160,38
Michael Garland;Eric Shaffer,100,15
Tolga Tasdizen;Ross T. Whitaker;Paul Burchard;Stanley Osher,263,67
Prashant Chopra;Joerg Meyer,66,11
Martin Isenburg;Pierre Alliez,115,29
Gevorg Grigoryan;Penny Rheingans,57,12
Tamal K. Dey;James Hudson,61,12
Mark Pauly;Markus H. Gross;Leif Kobbelt,992,227
Gunther H. Weber;Gerik Scheuermann;Hans Hagen;Bernd Hamann,75,11
Ken Museth;David E. Breen;Leonid Zhukov;Ross T. Whitaker,50,6
Valerio Pascucci;Kree Cole-McLaughlin,,21
Ming Wan;Aamir Sadiq;Arie E. Kaufman,34,2
Benjamin Mora;Jean-Pierre Jessel;RenÃ© Caubet,81,12
Aidong Lu;Christopher J. Morris;David S. Ebert;Penny Rheingans;Charles D. Hansen,155,27
Oliver Deussen;Carsten Colditz;Marc Stamminger;George Drettakis,235,26
Xiaoming Wei;Wei Li 0004;Klaus Mueller;Arie E. Kaufman,121,9
Johannes Schmidt-Ehrenberg;Daniel Baum;Hans-Christian Hege,45,5
Charles A. H. Baker;Sheelagh Carpendale;Przemyslaw Prusinkiewicz;Michael G. Surette,50,7
Ingrid Hotz,50,2
Joshua Levenberg,135,40
Eugene Zhang;Greg Turk,57,12
Stefan Gumhold,111,19
Stephen Mann;Alyn P. Rockwood,49,14
Alla Sheffer;John C. Hart,144,21
Gordon L. Kindlmann;Erik Reinhard;Sarah H. Creem-Regehr,67,17
Ming Jiang 0005;Raghu Machiraju;David S. Thompson,2,22
Hualin Zhou;Min Chen;Michael F. Webster,61,12
T. J. Jankun-Kelly;Kwan-Liu Ma;Michael Gertz,75,22
Daniel G. Aliaga;Thomas A. Funkhouser;Dimah Yanovsky;Ingrid Carlbom,50,10
Han Chen;Rahul Sukthankar;Grant Wallace;Kai Li 0001,205,71
Zachi Karni;Alexander Bogomjakov;Craig Gotsman,66,20
Olga Sorkine-Hornung;Daniel Cohen-Or;Rony Goldenthal;Dani Lischinski,225,47
Christopher DeCoro;Renato Pajarola,73,17
Andreas Sigfridsson;Tino Ebbers;Einar Heiberg;Lars WigstrÃ¶m,47,10
Xiaoqiang Zheng;Alex T. Pang,50,6
Leonid Zhukov;Alan H. Barr,154,30
Renato Pajarola;Marc Antonijuan;Roberto Lario,110,25
Brandon Lloyd;Parris K. Egbert,50,5
David M. Krum;Olugbenga Omoteso;William Ribarsky;Thad Starner;Larry F. Hodges,28,5
Brent M. Dennis;Christopher G. Healey,,2
Wim C. de Leeuw;Robert van Liere,,3
Eric B. Lum;Aleksander Stompel;Kwan-Liu Ma,50,10
Sanjini Jayaraman;Chris North,25,7
Gabriel Taubin,30,1
Gregory M. Nielson;Adam Huang;Steve Sylvester,50,12
Laurent Balmelli;Christopher J. Morris;Gabriel Taubin;Fausto Bernardini,26,5
Benjamin F. Gregorski;Mark A. Duchaineau;Peter Lindstrom;Valerio Pascucci;Kenneth I. Joy,94,21
Yasuko Suzuki;Issei Fujishiro;Li Chen;Hiroko Nakamura,12,6
Armin Kanitsar;Thomas TheuÃŸl;Lukas Mroz;Milos SrÃ¡mek;Anna Vilanova;BalÃ¡zs CsÃ©bfalvi;JirÃ­ Hladuvka;Dominik Fleischmann;Michael Knapp;Rainer Wegenkittl;Petr Felkel;Stefan Guthe;Werner Purgathofer;M. Eduard GrÃ¶ller,20,4
Gordon Erlebacher;David A. Yuen;Fabien Dubuffet,50,1
Prashant Chopra;Joerg Meyer;Antonio Fernandez,50,7
Rumi Hiraga,50,4
Soon Tee Teoh;Kwan-Liu Ma;Shyhtsun Felix Wu;Xiaoliang Zhao,85,16
Donna L. Gresh;David A. Rabenhorst;Amnon Shabo;Shimon Slavin,50,3
R. Mark Adams;Blaze Stancampiano;Michael McKenna;David Small,,2
Patricia Crossno;David H. Rogers;Christopher J. Garasi,50,5
Sanghun Park;Chandrajit L. Bajaj;Vinay Siddavanahalli,25,5
Dirk Bauer;Ronald Peikert;Mie Sato;Mirjam Sick,33,9
Josh Grant;Gordon Erlebacher;James F. O'Brien,11,2
Thomas Gerstner;Dirk Meetschen;Susanne Crewell;Michael Griebel;Clemens Simmer,15,4
Ralf KÃ¤hler;Donna J. Cox;Robert Patterson;Stuart Levy;Hans-Christian Hege;Tom Abel,50,11
Gregory W. Shirah;Horace Mitchell,0,0
Stanislav L. Stoev;Wolfgang StraÃŸer,22,4
Lloyd Treinish,4,2
Bradley C. Lowekamp;Penny Rheingans;Terry S. Yoo,50,0
Simon Stegmaier;Dirc Rose;Thomas Ertl,50,1
Samuel P. Uselton,50,0
Tamara Munzner;Steven C. North,,0
Colin Ware,,1
Ben Shedd,4,0
W. Bradford Paley,,0
Jarke J. van Wijk;Wim A. A. Nuij,,26
Martin Wattenberg;Danyel Fisher,0,5
Alan M. MacEachren;Xiping Dai;Frank Hardisty;Diansheng Guo;Eugene Lengerich,107,22
Diane Tang;Chris Stolte;Robert Bosch,50,4
Nelson Wong;Sheelagh Carpendale;Saul Greenberg,158,49
T. J. Jankun-Kelly;Kwan-Liu Ma,117,22
Chaomei Chen;Steven A. Morris,173,9
David Auber;Yves Chiricota;Fabien Jourdan;Guy MelanÃ§on,266,52
Alistair Morrison;Matthew Chalmers,24,3
Greg Ross;Matthew Chalmers,,1
Pak Chung Wong;Harlan Foote;Dan Adams;Wendy Cowley;James J. Thomas,59,9
Jing Yang 0001;Wei Peng;Matthew O. Ward;Elke A. Rundensteiner,196,17
Geraldine E. Rosario;Elke A. Rundensteiner;David C. Brown;Matthew O. Ward,92,7
Yehuda Koren;Liran Carmel,63,13
Marjan Trutschl;Georges G. Grinstein;Urska Cvek,29,11
Mark Derthick;Michael G. Christel;Alexander G. Hauptmann;Howard D. Wactlar,14,5
Qing Li;Chris North,37,1
Kenneth L. Summers;Timothy E. Goldsmith;Steve Kubica;Thomas P. Caudell,50,0
Sunghee Kim;Haleh Hagh-Shenas;Victoria Interrante,50,0
Paul Craig;Jessie Kennedy,32,11
Hong Chen,50,0
Niklas Elmqvist;Philippas Tsigas,50,15
Dominique Brodbeck;Luc Girardin,19,7
Christoph Csallner;Marcus Handte;Othmar Lehmann;John T. Stasko,20,11
Bernard Kerr,104,32
Rhazes Spell;Rachael Brady;Fred Dietrich,,2
Frank van Ham,,28
Tobias Skog;Sara Ljungblad;Lars Erik Holmquist,144,31
Daniel C. Glaser;Roger Tan;John F. Canny;Ellen Yi-Luen Do,,3
Greg Turk;Jarke J. van Wijk;Robert J. Moorhead II,,0
Jeremy Jaech;Stephen C. North;Mike Peery;Will Schroeder;James J. Thomas,1,0
Laurent Saroul;Sebastian Gerlach;Roger D. Hersch,,5
Robert Albert;Noah Syroid;Yinqi Zhang;James Agutter;Frank Drews;David L. Strayer;George Hutchinson;Dwayne R. Westenskow,7,1
Armin Kanitsar;Rainer Wegenkittl;Dominik Fleischmann;M. Eduard GrÃ¶ller,88,17
David C. Banks;Stephen A. Linton,42,12
Gregory M. Nielson,,2
Andrzej Szymczak;James Vanderhyde,50,10
Aaron E. Lefohn;Joe Michael Kniss;Charles D. Hansen;Ross T. Whitaker,134,27
Christian Sigg;Ronald Peikert;Markus H. Gross,141,33
Hui Xie 0001;Jianning Wang;Jing Hua;Hong Qin;Arie E. Kaufman,,11
Gokul Varadhan;Shankar Krishnan;Young J. Kim;Dinesh Manocha,67,12
Daniel Weiskopf;Gordon Erlebacher;Thomas Ertl,79,25
Timothy Urness;Victoria Interrante;Ivan Marusic;Ellen Longmire;Bharathram Ganapathisubramani,78,22
Jarke J. van Wijk,,37
Robert S. Laramee;Bruno Jobard;Helwig Hauser,132,34
Peer-Timo Bremer;Herbert Edelsbrunner;Bernd Hamann;Valerio Pascucci,,12
Paolo Cignoni;Fabio Ganovelli;Enrico Gobbetti;Fabio Marton;Federico Ponchio;Roberto Scopigno,181,30
Vasily Volkov;Ling Li,17,2
Sung-Eui Yoon;Brian Salomon;Dinesh Manocha,50,4
Anthony J. Sherbondy;Michael Houston;Sandy Napel,133,32
Dirk Bartz;Dirk Mayer;Jan Fischer;Sebastian Ley;Ã�ngel del RÃ­o;Steffi Thust;Claus Peter Heussel;Hans-Ulrich Kauczor;Wolfgang StraÃŸer,43,20
Ariel Shamir,50,7
Julia Ebling;Gerik Scheuermann,54,23
Udeepta Bordoloi;Han-Wei Shen,50,3
Guangfeng Ji;Han-Wei Shen;Rephael Wenger,50,17
Yi-Jen Chiang,,6
Holger Theisel;Tino Weinkauf;Hans-Christian Hege;Hans-Peter Seidel,169,43
Alexandru Telea;Jarke J. van Wijk,101,20
Guo-Shi Li;Udeepta Bordoloi;Han-Wei Shen,53,8
Xiaoqiang Zheng;Alex T. Pang,,19
Ming Wan;William A. McNeely,,20
Milan Ikits;J. Dean Brederson;Charles D. Hansen;Christopher R. Johnson 0001,86,25
Ye Zhao;Xiaoming Wei;Zhe Fan;Arie E. Kaufman;Hong Qin,50,4
Kirk Riley;David S. Ebert;Charles D. Hansen;Jason J. Levit,35,16
Jens H. KrÃ¼ger;RÃ¼diger Westermann,982,201
Jens Schneider;RÃ¼diger Westermann,152,25
Markus Hadwiger;Christoph Berger;Helwig Hauser,188,44
Ivan Viola;Armin Kanitsar;M. Eduard GrÃ¶ller,70,10
Wei Li 0004;Klaus Mueller;Arie E. Kaufman,187,16
Christopher S. Co;BjÃ¸rn Heckel;Hans Hagen;Bernd Hamann;Kenneth I. Joy,50,7
Manfred Weiler;Martin Kraus;Markus Merz;Thomas Ertl,196,40
Jinzhu Gao;Jian Huang 0007;Han-Wei Shen;James Arthur Kohl,,5
David Akers;Frank Losasso;Jeff Klingner;Maneesh Agrawala;John Rick;Pat Hanrahan,86,18
A. James Stewart,,26
Michael Halle;Jeanette C. Meng,15,12
Melanie Tory,65,12
Marc P. Persoon;Iwo Serlie;Frits H. Post;Roel Truyen;Frans Vos,50,4
Martin Hering-Bertram,4,2
Christian RÃ¶ssl;Frank Zeilfelder;GÃ¼nther NÃ¼rnberger;Hans-Peter Seidel,50,4
Michael J. McGuffin;Liviu Tancau;Ravin Balakrishnan,202,58
Gareth Daniel;Min Chen,129,34
Jonathan Woodring;Chaoli Wang;Han-Wei Shen,112,31
Tomihisa Welsh;Klaus Mueller,50,2
Matthias Hopf;Thomas Ertl,,13
Huamin Qu;Arie E. Kaufman;Ran Shao;Ankush Kumar,8,3
BalÃ¡zs CsÃ©bfalvi;LÃ¡szlÃ³ Szirmay-Kalos,68,16
Marco Tarini;Paolo Cignoni;Roberto Scopigno,19,2
Martin Isenburg;Peter Lindstrom;Stefan Gumhold;Jack Snoeyink,153,31
Justin Jang;William Ribarsky;Chris Shaw 0002;Peter Wonka,50,2
Roger C. Tam;Wolfgang Heidrich,69,13
Dieter HÃ¶nigmann;Johannes Ruisz;Christoph Haider,,5
Joe Michael Kniss;Simon Premoze;Milan Ikits;Aaron E. Lefohn;Charles D. Hansen;Emil Praun,142,35
Fan-Yin Tzeng;Eric B. Lum;Kwan-Liu Ma,169,37
Gordon L. Kindlmann;Ross T. Whitaker;Tolga Tasdizen;Torsten MÃ¶ller,453,129
Soon Tee Teoh;Kwan-Liu Ma;Shyhtsun Felix Wu,49,13
Donna L. Gresh;Eugene I. Kelton,,3
Zoltan Konyha;Kresimir Matkovic;Helwig Hauser,50,3
Runzhen Huang;Kwan-Liu Ma;Patrick S. McCormick;William Ward,53,12
Paul Adams;Douglas Dommermuth,9,2
David Ellsworth;Patrick J. Moran,50,1
Walter JimÃ©nez;Wagner Toledo CorrÃªa;ClÃ¡udio T. Silva;AntÃ³nio M. Baptista,50,1
Voicu Popescu;Christoph M. Hoffmann;Sami Kilic;Mete Sozen;Scott Meador,,2
Oliver Kreylos;Nelson L. Max;Bernd Hamann;Silvia N. Crivelli;E. Wes Bethel,9,3
Wendy Plesniak;Michael Halle;Steven D. Pieper;William M. Wells III;Marianna Jakab;Dominik S. Meier;Stephen A. Benton;Charles R. G. Guttmann;Ron Kikinis,11,0
Leonid Zhukov;Alan H. Barr,112,15
Georges G. Grinstein;Alfred Kobsa;Catherine Plaisant;Ben Shneiderman;John T. Stasko,0,3
E. Wes Bethel;Greg Abram;John Shalf;Randy Frank;James P. Ahrens;Steven G. Parker;Nagiza F. Samatova;Mark C. Miller,3,0
Theresa-Marie Rhyne;Melanie Tory;Tamara Munzner;Matthew O. Ward;Christopher R. Johnson 0001;David H. Laidlaw,61,9
Raghu Machiraju;Christopher R. Johnson 0001;Terry S. Yoo;Roger Crawfis;David S. Ebert;Don Stredney,4,1
John R. Wright;Scott Burleigh;Makoto Maruya;Scott Maxwell;RenÃ© Pischel,50,1
Robert A. Amar;John T. Stasko,337,118
Robert A. Amar;John T. Stasko,73,42
Lior Berry;Tamara Munzner,42,8
Chris Weaver,248,80
Steven F. Roth,50,2
Frank van Ham,,1
Wei Peng;Matthew O. Ward;Elke A. Rundensteiner,299,76
Eric T. Stanton;W. Philip Kegelmeyer,2,0
Fujio Tsutsumi;Norihiko Itoh;Takashi Onoda,0,0
Yaniv Frishman;Ayellet Tal,117,41
Michael Granitzer;Wolfgang Kienreich;Vedran Sabol;Keith Andrews;Werner Klieber,64,18
Diane Cluxton;Stephen G. Eick;Jie Yun,67,24
Eben Myers;Peter Coppin;Michael D. Wagner;Karl Fischer;Luisa Lu;W. Ronald McCloskey;David Seneker,2,0
Michael J. McGuffin;Gord Davison;Ravin Balakrishnan,21,9
Daniel A. Keim;Helmut Barro;Christian Panse;JÃ¶rn Schneidewind;Mike Sips,50,4
Maylis Delest;Tamara Munzner;David Auber;Jean-Philippe Domenger,15,4
Lucian Voinea;Alexandru Telea;Jarke J. van Wijk,10,3
Mirko Mandic;Andruid Kerne,,4
Thomas Kapler;William Wright,,60
Pin Ren;Benjamin Watson,2,0
Diane Cluxton;Stephen G. Eick;Jie Yun,50,1
Chaomei Chen,136,24
Pak Chung Wong;Elizabeth G. Hetzler;Christian Posse;Mark A. Whiting;Susan L. Havre;Nick Cramer;Anuj R. Shah;Mudita Singhal;Alan Turner;James J. Thomas,53,14
Chaomei Chen,6,0
Jaroslav Tyman;Grant P. Gruetzmacher;John T. Stasko,,2
James Abello;Frank van Ham,50,1
Joshua Foster;Kalpathi R. Subramanian;Robert Herring;Gail-Joon Ahn,2,0
Ming C. Hao;Daniel A. Keim;Umeshwar Dayal;JÃ¶rn Schneidewind,0,0
Jimmy Johansson;Patric Ljung;David Lindgren;Matthew D. Cooper,0,0
Frank van Ham;Jarke J. van Wijk,,57
Stuart K. Card,50,0
Weimao Ke;Katy BÃ¶rner;Lalitha Viswanath,79,5
James Abello;Frank van Ham,124,32
Yves Chiricota;Fabien Jourdan;Guy MelanÃ§on,50,5
Tzu-Wei Hsu;Lee Inman;Dave McColgin;Kevin Stamper,50,2
Stephen G. Kobourov;Kevin Wampler,54,2
D;Chris North;Karen Duca,138,36
Soon Tee Teoh;Kwan-Liu Ma,4,1
Nathan Gossett;Baoquan Chen,50,14
Sheelagh Carpendale;Anand Agarawala,4,3
Anselm Spoerri,27,11
Roland Heilmann;Daniel A. Keim;Christian Panse;Mike Sips,81,22
David Lu;Lauren Dietrich,,0
Melanie Tory;Torsten MÃ¶ller,231,70
Conrad Albrecht-Buehler;Benjamin Watson;David A. Shamma,4,1
Matt Williams;Tamara Munzner,102,36
Conrad Albrecht-Buehler;Benjamin Watson;David A. Shamma,15,2
Jean-Daniel Fekete,353,91
Andrew Vande Moere,94,20
Emden R. Gansner;Yehuda Koren;Stephen C. North,50,14
Dennis P. Groth;Benjamin W. Murphy,50,1
Almir Olivette Artero;Maria Cristina Ferreira de Oliveira;Haim Levkowitz,179,57
Bongshin Lee;Mary Czerwinski;George G. Robertson;Benjamin B. Bederson,24,2
Adel Ahmed;Tim Dwyer;Colin Murray;Le Song;Ying Xin Wu,50,2
Alfred Kobsa,123,31
Jing Yang 0001;Anilkumar Patro;Shiping Huang;Nishant K. Mehta;Matthew O. Ward;Elke A. Rundensteiner,67,19
Alan Keahey;Kenneth C. Cox,,0
Parthasarathy Krishnaswamy;Stephen G. Eick;Robert L. Grossman,0,0
Mahnas Jean Mohammadi-Aragh;T. J. Jankun-Kelly,0,0
Ellen Diep;Robert J. K. Jacob,50,2
Dinoj Surendran;Stuart Levy,50,1
Adel Ahmed;Tim Dwyer;Colin Murray;Le Song;Ying Xin Wu,50,5
Fernanda B. ViÃ©gas;Ethan Perry;Ethan Howe;Judith S. Donath,50,12
Chandrajit L. Bajaj;Peter Djeu;Vinay Siddavanahalli;Anthony Thane,50,5
Hui Xie 0001;Kevin T. McDonnell;Hong Qin,53,24
Ken Museth;Santiago V. Lombeyda,17,4
Chandrajit L. Bajaj;Peter Djeu;Vinay Siddavanahalli;Anthony Thane,104,14
MatÃºs Straka;Michal CervenanskÃ½;Alexandra La Cruz;Arnold KÃ¶chl;Milos SrÃ¡mek;M. Eduard GrÃ¶ller;Dominik Fleischmann,78,15
Xiaoqiang Zheng;Alex T. Pang,63,20
Liying Sun;Rajesh Batra;Xiaolei Shi;Lambertus Hesselink,7,1
Christoph Garth;Xavier Tricoche;Gerik Scheuermann,95,24
Michel A. Westenberg;Thomas Ertl,50,1
Ming C. Hao;Daniel A. Keim;Umeshwar Dayal,2,0
Derek Bradley,0,0
Jinzhu Gao;Han-Wei Shen;Jian Huang 0007;James Arthur Kohl,27,1
Hans Hagen;Andreas Disch;Jochen Ehret;Ralf Klein;Sascha KÃ¶hn;Dirk Zeckzer;Michael MÃ¼nchhofen,3,0
Ken Brodlie;David A. Duce;Julian R. Gallop;Musbah Shahop Sagar;J. P. R. B. Walton;Jason D. Wood,99,30
Xavier Tricoche;Christoph Garth;Gordon L. Kindlmann;Eduard Deines;Gerik Scheuermann;Markus RÃ¼tten;Charles D. Hansen,56,20
P. Coleman Saunders;Sean C. Garrick;Victoria Interrante,0,0
Patricia Crossno;David H. Rogers;Rebecca M. Brannon;David Coblentz,5,2
Song Zhang 0004;David H. Laidlaw;Jack Simon;Mark Brown;David Miller,50,0
Vadim A. Slavin;David H. Laidlaw;Robert Pelcovits;Song Zhang 0004;George Loriot;Andrew Callan-Jones,8,3
Eduardo Hueso;Igor Pivkin;Sharon Swartz;David H. Laidlaw;George E. Karniadakis;Kenneth Breuer,50,0
Derek Bradley,5,0
Martin Hering-Bertram,0,1
Nate Hoobler;Greg Humphreys;Maneesh Agrawala,85,15
Kay A. Robbins;Mark A. Robinson;David M. Senseman,5,1
David Crawford;Kwan-Liu Ma;Min-Yu Huang;Scott Klasky;StÃ©phane Ethier,50,3
David Guzman;Reuben Reyes;Karla Vega;Kelly P. Gaither;Robert Wyatt,0,0
Reuben Reyes;Wendy L. Hodges;Kelly P. Gaither,50,0
Gregory P. Johnson;Kelly P. Gaither;Victor Calo,50,0
Nicholas Schwarz;Shalini Venkataraman;Luc Renambot;Naveen K. Krishnaprasad;Venkatram Vishwanath;Jason Leigh;Andrew E. Johnson;Graham Kent;Atul Nayak,28,3
Martin Hering-Bertram,50,1
Filip Sadlo;Ronald Peikert;Etienne Parkinson,38,14
Qiang Du;Xiaoqiang Wang,52,7
Rong Xu;Wawan Solihin;Zhiyong Huang,8,0
William J. Schroeder;Berk Geveci;Mathieu Malaterre,50,5
Bruce H. McCormick;Purna Doddapaneni;David Mayerich;Zeki Melek;John Keyser,50,3
Marcus A. Magnor;Gordon L. Kindlmann;Charles D. Hansen,0,14
Jochen Ehret;Achim Ebert;Lars Schuchardt;Heidrun Steinmetz;Hans Hagen,9,1
Gleb Bahmutov;Voicu Popescu;Elisha Sacks,50,3
Hans Hagen;Gerhard Steinebach;Michael MÃ¼nchhofen;Inga Scheler;Maja Ruby;Michael WadlÃ©,0,0
Gleb Bahmutov;Voicu Popescu;Elisha Sacks,50,2
Sameep Mehta;Kaden Hazzard;Raghu Machiraju;Srinivasan Parthasarathy 0001;John Wilkins,50,10
Feng Qiu;Ye Zhao;Zhe Fan;Xiaoming Wei;Haik Lorenz;Jianning Wang;Suzanne Yoakum-Stover;Arie E. Kaufman;Klaus Mueller,50,5
Allen R. Sanderson;Christopher R. Johnson 0001;Robert Michael Kirby,59,17
Song Zhang 0004;David H. Laidlaw,13,3
Nan Zhang 0011;Wei Hong;Arie E. Kaufman,59,12
Gregory M. Nielson,125,26
Bartosz von Rymon-Lipinski;Nils Hanssen;Thomas Jansen 0005;Lutz Ritter;Erwin Keeve,30,4
David Akers;Anthony J. Sherbondy;Rachel Mackenzie;Robert F. Dougherty;Brian A. Wandell,50,5
David Akers;Anthony J. Sherbondy;Rachel Mackenzie;Robert F. Dougherty;Brian A. Wandell,64,10
Hang Yu;Ee-Chien Chang;Zhiyong Huang;Zhijian Zheng,0,0
Michael Griebel;Tobias PreuÃŸer;Martin Rumpf;Marc Alexander Schweitzer;Alexandru Telea,0,13
Thomas Wischgoll;Elke Moritz;JÃ¶rg Meyer,1,0
Kristina Santilli;Karen G. Bemis;Deborah Silver;Jamshed Dastur;Peter A. Rona,50,9
Lujin Wang;Klaus Mueller,24,1
Ho-Lun Cheng;Xinwei Shi,50,6
Miguel A. Otaduy;Nitin Jain;Avneesh Sud;Ming C. Lin,87,22
Wei Chen 0001;Liu Ren;Matthias Zwicker;Hanspeter Pfister,73,8
Michael Balzer;Oliver Deussen,50,7
Lok M. Hwa;Mark A. Duchaineau;Kenneth I. Joy,69,8
Dennis Jen;Peter Parente;Jonathan Robbins;Chris Weigle;Russell M. Taylor II;Alain Burette;Richard Weinberg,19,4
Steven Schkolne;Hiroshi Ishii 0001;Peter SchrÃ¶der,,4
Ivan Viola;Armin Kanitsar;M. Eduard GrÃ¶ller,231,44
David Ellsworth;Bryan Green;Patrick J. Moran,28,13
Augusto RomÃ¡n;Gaurav Garg;Marc Levoy,105,20
Steffen Prohaska;Andrei Hutanu;Ralf KÃ¤hler;Hans-Christian Hege,48,11
Yarden Livnat;Xavier Tricoche,57,14
Eric Christopher Wyatt;Patrick O'Leary,3,0
Timothy Urness;Victoria Interrante;Ellen Longmire;Ivan Marusic;Bharathram Ganapathisubramani,3,1
David Ellsworth;Bryan Green;Patrick J. Moran,21,15
Matej Mlejnek;Anna Vilanova;M. Eduard GrÃ¶ller,50,4
Yuriko Takeshima;Shigeo Takahashi;Issei Fujishiro;Gregory M. Nielson,6,1
Dirc Rose;Katrin Bidmon;Thomas Ertl,10,2
Robert S. Laramee;Daniel Weiskopf;JÃ¼rgen Schneider;Helwig Hauser,81,25
Xiaohong Bao;Renato Pajarola;Michael Shafae,50,0
G. Elisabeta Marai;Ã‡agatay Demiralp;Stuart Andrews;David H. Laidlaw,0,0
Wilson S. Geisler,0,0
Chang Ha Lee;Xuejun Hao;Amitabh Varshney,50,14
Sarang Lakare;Arie E. Kaufman,50,6
Eric B. Lum;Kwan-Liu Ma,111,35
Alireza Entezari;Ramsay Dyer;Torsten MÃ¶ller,83,26
David J. Duke,3,1
Xiaohong Bao;Renato Pajarola;Michael Shafae,0,0
Herbert Edelsbrunner;John Harer;Vijay Natarajan;Valerio Pascucci,55,10
Shyh-Kuang Ueng;Yan-Jen Su;Chi-Tang Chang,50,1
Yuan Chen;Jonathan D. Cohen;Subodh Kumar,54,21
Aili Li;Klaus Mueller;Thomas Ernst,30,7
Zeki Melek;John Keyser,3,2
Alexandra La Cruz;MatÃºs Straka;Arnold KÃ¶chl;Milos SrÃ¡mek;M. Eduard GrÃ¶ller;Dominik Fleischmann,50,5
Daniel Weiskopf,50,4
Yuan Chen;Jonathan D. Cohen;Subodh Kumar,0,1
Miao Jin;Yalin Wang 0001;Shing-Tung Yau;Xianfeng Gu,106,35
Theresa-Marie Rhyne;William L. Hibbard;Christopher R. Johnson 0001;Chaomei Chen;Steve Eick,50,6
Kelly P. Gaither;David S. Ebert;Bill Geisler;David H. Laidlaw,0,0
Greg Johnson;David S. Ebert;Charles D. Hansen;David Kirk;Bill Mark;Hanspeter Pfister,0,1
Jon D. Genetti;Michael J. Bailey;David H. Laidlaw;Robert J. Moorhead II;Ross T. Whitaker,50,1
Ingrid Hotz;Louis Feng;Hans Hagen;Bernd Hamann;Kenneth I. Joy;Boris Jeremic,81,24
Yuan Zhou;Michael Garland;Robert Haber,50,5
Susan L. Havre;Mudita Singhal;Deborah A. Payne;Bobbie-Jo M. Webb-Robertson,6,2
Martin Kraus;Wei Qiao;David S. Ebert,50,16
Sung-Eui Yoon;Brian Salomon;Russell Gayle;Dinesh Manocha,197,11
Gregory M. Nielson,153,5
Robert Strzodka;Christoph S. Garbe,57,23
JÃ¼rgen P. Schulze;Alexander Rice,9,2
Michael Brasher;Robert Haimes,4,0
Daqing Xue;Caixia Zhang;Roger Crawfis,16,5
Michael Brasher;Robert Haimes,50,7
Yootai Kim;Raghu Machiraju;David S. Thompson,50,0
Patrick S. McCormick;Jeff T. Inman;James P. Ahrens;Charles D. Hansen;Greg Roth,91,21
Hamish A. Carr;Jack Snoeyink;Michiel van de Panne,193,52
AndrÃ© Neubauer 0002;Stefan Wolfsberger;Marie-ThÃ©rÃ¨se Forster;Lukas Mroz;Rainer Wegenkittl;Katja BÃ¼hler,50,8
Holger Theisel;Tino Weinkauf;Hans-Christian Hege;Hans-Peter Seidel,0,16
Martin Wattenberg,164,35
Georg Zotti;Eduard GrÃ¶ller,0,2
Michael J. McGuffin;Ravin Balakrishnan,50,9
Gerard Lommerse;Freek Nossin;Lucian Voinea;Alexandru Telea,69,10
Jeffrey Heer;Danah Boyd,829,87
James Slack;Kristian Hildebrand;Tamara Munzner,50,2
Michael Balzer;Oliver Deussen,144,35
Shengdong Zhao;Michael J. McGuffin;Mark H. Chignell,120,21
Tim Dwyer;Yehuda Koren,51,8
Pak Chung Wong;Patrick Mackey;Ken Perrine;James R. Eagan;Harlan Foote;James J. Thomas,36,5
Kang Shi;Pourang Irani;Pak Ching Li,37,7
Elizabeth G. Hetzler;Vernon L. Crow;Deborah A. Payne;Alan Turner,50,7
Yarden Livnat;James Agutter;Shaun Moon;Stefano Foresti,94,21
Ulrik Brandes;Daniel Fleischer;JÃ¼rgen Lerner,9,2
Robert A. Amar;James R. Eagan;John T. Stasko,409,78
Camilla Forsell;Stefan Seipel;Mats Lind,50,5
Jimmy Johansson;Patric Ljung;Mikael Jern;Matthew D. Cooper,172,37
Fabian Bendix;Robert Kosara;Helwig Hauser,106,22
Eleanor Boyle Chlan;Penny Rheingans,50,2
Elena Fanea;Sheelagh Carpendale;Tobias Isenberg 0001,95,13
Leland Wilkinson;Anushka Anand;Robert L. Grossman,174,55
