AuthorNames-Deduped,AminerCitationCount_02-2019,XPloreCitationCount_02-2019
Theresa-Marie Rhyne;Mark Bolstad;Penny Rheingans;Lynne Petterson;Walter Shackelford;Mike E. Botts;E. Pepke;K. W. Johnson;William L. Hibbard;Charles R. Dyer;Brian E. Paul;Lloyd Treinish,1,0
J. McLeod;C. Small,1,0
Philip J. Mercurio;T. Todd Elvins;Stephen J. Young,43,0
Robert S. MacLeod;N. E. Harrison;Christopher R. Johnson 0001;Michael A. Matheson,,8
Alan D. Kalvin;David Dean;Jean-Jaques Hublin;M. Braun,0,1
R. Popovic,,0
M. J. Geller;E. E. Flaco;D. G. Fabricant;B. Estus,50,1
William Ribarsky;Bob Brown;Terry Myerson;Richard Feldmann;Stuart Smith;Lloyd Treinish,,6
Stuart A. Tobet;Joan C. King;Steven L. Wertheim;Frank H. Duffy,,0
Paul T. Breen;Georges G. Grinstein;David W. Mizell;Richard M. Satava;Bradford Smith;Michael M. Stephens;David Zeltzer,,0
Stephen M. Kosslyn;Nahum D. Gershon;Haim Levkowitz;Justin D. Pearlman,,2
Lloyd A. Treinish;David M. Butler;Hikmet Senay;Georges G. Grinstein;Steve T. Bryson,,4
William J. Campbell;George Fekete;Robert F. Cromp;Ray Wall;Michael Goldberg,,4
Stephen M. Ervin,0,2
James T. Kaba;James R. Matey;Gordon Stoll;Herb Taylor;Pat Hanrahan,,9
John R. Wright;Julia C. Hsieh,50,9
Lori L. Scarlatos;Theodosios Pavlidis,,7
Mark A. Christon;T. Spelce,0,1
Thierry Delmarcelle;Lambertus Hesselink,73,27
T. J. True;J. F. Hughes,50,1
David R. Nadeau;Michael J. Bailey,0,0
Steve Bryson,36,4
Clifford Beshers;Steven K. Feiner,38,6
X. Lin,,13
Nahum D. Gershon,59,15
L. R. Seidenberg;Robert B. Jerard;J. Megewick,12,1
Penny Rheingans,50,9
Jeff P. Hultquist;E. L. Raible,50,10
R. R. Springmeyer;Meera Blattner;Nelson L. Max,125,36
Bruce Lucas,50,9
William J. Schroeder;William E. Lorensen;G. D. Montanaro;Christopher R. Volpe,50,9
Stephen G. Eick;Joseph L. Steffen,50,4
Carla S. Williams;John Rasure;C. Hansen,52,12
Daniel A. Keim;Vincent Y. Lum,16,1
Janice E. Cuny;Alfred Hough;Joydip Kunda,50,4
Nelson L. Max;Roger Crawfis;Dean Williams,79,24
Jeff P. Hultquist,282,83
Fernando Grinstein;Upul Obeysekare;Gopal Patnaik,50,1
K. Koyamada,12,6
Kalpathi R. Subramanian;Bruce F. Naylor,50,2
William L. Hibbard;Charles R. Dyer;Brian E. Paul,68,14
X. Wu;Y. Fang,,1
David Turo;B. Johnson,94,24
Karl Heinz HÃ¶hne;Andreas Pommert;Martin Riemer;Thomas Schiemann;Rainer Schubert;Ulf Tiede;Werner Lierse,50,0
Bruce Lucas;G. D. Abrams;Nancy S. Collins;D. A. Epstien;Donna L. Gresh;Kevin P. McAuliffe,189,51
R. D. Williams;Fred L. Wefer;T. E. Clifton,50,2
T. Todd Elvins,43,11
Andrew J. Hanson;Pheng-Ann Heng,37,15
Charles D. Hansen;Paul A. Hinker,93,27
Hans Hagen;Stefanie Hahmann,22,5
David N. Kenwright;Gordon D. Mallison,69,18
Jarke J. van Wijk,66,18
Kwan-Liu Ma;Philip J. Smith,50,8
Peter L. Williams,67,19
Georgios Sakas;J. Hartig,53,9
Shigeru Muraki,73,27
Ricardo S. Avila;Lisa M. Sobierajski;Arie E. Kaufman,156,26
Paul Ning;Lambertus Hesselink,101,24
Nelson L. Max;Barry G. Becker;Roger Crawfis,148,33
Hans-Heino Ehricke;Gerhard Daiber;Wolfgang StraÃŸer,6,4
David A. Lane,16,14
Wim C. de Leeuw;Jarke J. van Wijk,215,50
Andrea J. S. Hin;Frits H. Post,64,15
Ingrid Carlbom,43,20
Roni Yagel;Z. Shi,178,41
Allen Van Gelder;Jane Wilhelms,50,17
Sidney W. Wang;Arie E. Kaufman,171,34
Michael Stonebraker;Jolly Chen;Nobuko Nathan;Caroline Paxson;Alan Su;Jiang Wu,34,7
Peter Kochevar;Zahid Ahmed;J. Shade;Colin Sharp,6,5
Ken Brodlie;A. Poon;Helen Wright;L. Brankin;G. Banecki;A. Gay,118,25
Gudrun Klinker,,2
Jarke J. van Wijk;Robert van Liere,50,52
D. Song;Eric J. Golin,15,9
C. Thornborrow;A. J. S. Wilson;Chris Faigle,,2
Taosong He;Arie E. Kaufman,49,6
Anselm Spoerri,198,16
Daniel A. Keim;Hans-Peter Kriegel;Thomas Seidl 0001,38,6
Tom M. Morrow;Sumit Ghosh,50,0
Abdul Waheed;Diane T. Rover,9,1
Bowen Alpern;Larry Carter;M. Grayson;C. Pelkie,50,6
Paul A. Hinker;Charles D. Hansen,211,39
Andrew J. Hanson;Robert A. Cross,70,20
Stephen G. Eick;Graham J. Wills,184,39
Mark S. Peercy;Lambertus Hesselink,50,0
A. Ravishankar Rao;Gerald L. Lohse,,37
R. R. Springmeyer,50,0
Bernice E. Rogowitz;Lloyd Treinish,,19
Jarke J. van Wijk,173,40
Kwan-Liu Ma;Philip J. Smith,,6
Roger Crawfis;Nelson L. Max,1,73
W. E. Lorenson,,5
Brian Corrie;Paul Mackerras,50,4
Alex T. Pang;Kyle Smith,50,10
Peter A. Fletcher;Philip K. Robertson,12,2
Amitabh Varshney;Frederick P. Brooks Jr.,,6
Dachywan Wu;James Roberge;Douglas J. Cork;Bao Gia Nguyen;Thom Grace,10,7
A. J. Bladek,,0
Douglas M. Ranken;John S. George,50,3
G. Celniker;I. Chakravarty;J. Moorman,,1
S. Tyson;B. Williams,,1
Hans-Georg Pagendarm,,2
G. David Kerlick;E. Kirby,50,5
H. F. Mayer;B. Tabatabai,,0
H. Videau;P. Mora de Freitas,,0
Hans Drevermann;D. Kuhm;B. Nilsson,0,0
Lloyd Treinish,4,0
P. C. Chen,,2
R. J. Moorehead;Z. Zhu,50,6
William E. Lorensen;Harvey E. Cline;C. Nafis;David Altobelli;L. Gleason,94,25
Jean-Daniel Boissonnat;Bernhard Geiger,13,6
Patrizia Palamidese;M. Betro;G. Muccioli,,3
D. I. Abramov;V. V. Gusev;Stanislav V. Klimenko;L. I. Ponomarev;W. Krueger;W. Renz,50,0
Theresa-Marie Rhyne;William Ivey;Loey Knapp;Peter Kochevar;Tom Mace,,2
Samuel P. Uselton;Geoff Dorn;Charbel Farhat;Michael W. Vannier;Kim Esbensen;Al Globus,0,4
Linda M. Stone;Thomas Erickson;Benjamin B. Bederson;Peter Rothman;Raymond Muzzy,0,1
Alfred Inselberg;Georges G. Grinstein;Ted Mihalisin;Hans Hinterberger,,0
Christian Roux;Jean-Louis Coatrieux;Jean-Louis Dillenseger;Elliot K. Fishman;Murray H. Loew;Hans-Peter Meinzer;Justin D. Pearlman,,1
Mike E. Botts;Jon D. Dykstra;Lee S. Elson;Steven J. Goodman;Meemong Lee,,1
Mitchell Roth;Rick Guritz,50,0
Holly E. Rushmeier;Anthony Hamins;Mun-Young Choi,33,0
Pramod M. Mahadev;Richard D. Christie,0,3
Tarek K. Alameldin;Mardelle Shepley,0,1
Georgios Sakas;Lars-Arne Schreyer;Marcus Grimm,4,3
Andrei State;David T. Chen;Chris Tector;Andrew Brandt;Hong Chen;Ryutarou Ohbuchi;Michael Bajura;Henry Fuchs,89,22
Philip Peterson;Brian Hayden;F. David Fracchia,0,0
Andreas Johannsen;Robert J. Moorhead II,5,5
Lloyd Treinish,50,5
GÃ¡bor Domokos;Randy C. Paffenroth,6,0
A. Mankofsky;E. P. Szuszczewicz;P. Blanchard;C. Goodrich;D. McNabb;R. Kulkarni;D. Kamins,50,1
Scott E. Parker;Ravi Samtaney,6,3
Matthew O. Ward,541,151
Jean-Marie Favre;James K. Hahn,50,2
William L. Hibbard;Charles R. Dyer;Brian E. Paul,52,15
Alex T. Pang;Naim Alper,50,6
James W. Durkin;John F. Hughes,17,2
Sergey V. Matveyev,,14
Claudio Montani;Riccardo Scateni;Roberto Scopigno,274,44
Maria M. Loughlin;John F. Hughes,20,6
Deb Banerjee;Chris Morley;Wayne Smith,,1
David A. Lane,120,31
Nelson L. Max;Roger Crawfis;Charles Grant,107,32
Lisa K. Forssell,120,28
David S. Ebert;Roni Yagel;James N. Scott;Yair Kurzion,38,7
Manfred Brill;Hans Hagen;Hans-Christian Rodrian;Wladimir Djatschin;Stanislav V. Klimenko,97,15
Gitta Domik;Bernd Gutkauf,50,6
Ray Twiddy;John Cavallo;Shahram M. Shiri,50,6
Kirk L. Duffin;Bill Barrett,50,8
ClÃ¡udio T. Silva;Arie E. Kaufman,30,6
Milos SrÃ¡mek,42,16
Han-Wei Shen;Christopher R. Johnson 0001,120,29
Doug Kimelman;Bryan S. Rosenburg;Tova Roth,50,15
Marc Najork;Marc H. Brown,50,3
Robert A. Cross;Andrew J. Hanson,16,6
Ayellet Tal;David P. Dobkin,8,2
Thierry Delmarcelle;Lambertus Hesselink,145,46
David C. Banks;Bart A. Singer,98,34
Kwan-Liu Ma;Z. C. Zheng,50,6
Hans-Georg Pagendarm;Birgit Walter,,16
Andrew J. Hanson;Hui Ma,50,9
Steve Marschner;Richard Lobb,372,113
Hai Tao;Robert J. Moorhead II,50,14
Taosong He;Sidney W. Wang;Arie E. Kaufman,182,22
Takayuki Itoh;Koji Koyamada,55,12
Chandrajit L. Bajaj;Andrew V. Royappa,19,2
Michael Margaliot;Craig Gotsman,50,3
Patrick J. Moran;Marcus Wagner,50,2
Boris Yamrom;John A. Sutliff;Andrew P. Woodfield,3,3
William J. Schroeder;William E. Lorensen;Steve Linthicum,116,31
Ricardo S. Avila;Taosong He;Lichan Hong;Arie E. Kaufman;Hanspeter Pfister;ClÃ¡udio T. Silva;Lisa M. Sobierajski;Sidney W. Wang,139,30
John S. Rowlan;G. Edward Lent;Nihar Gokhale;Shannon Bradshaw,55,10
Cheong S. Ang;David C. Martin;Michael D. Doyle,,8
Robert Spence;Lisa Tweedie;Huw Dawkes;Hua Su,,12
Klaus Reichenberger;Thomas Kamps;Gene Golovchinsky,19,4
W. Wright,,6
Peter LÃ¼ders;Rolf Ernst,,2
Mei C. Chuah;Steven F. Roth;Joe Mattis;John Kolojejchick,21,5
Dean F. Jerding;John T. Stasko,,14
James A. Wise;James J. Thomas;Kelly Pennock;D. Lantrip;M. Pottier;Anne Schur;V. Crow,796,177
Ian G. Angus;Henry Sowizral,50,1
Christopher Ahlberg;Erik Wistrand,204,54
S. Jeromy CarriÃ¨re;Rick Kazman,185,22
Vinod Anupam;Shaul Dar;Ted Leibfried;Eric Petajan,50,8
Robert J. Hendley;Nick S. Drew;Andrew Wood;Russell Beale,247,31
K. Andrews,,19
R. Mitchell;David S. Day;Lynette Hirschman,50,4
Theresa-Marie Rhyne,0,0
C. A. Burton;L. J. Johnston;E. A. Sonenberg,50,3
Nahum D. Gershon;Joshua LeVasseur;Joel Winstead;J. Croall;A. Pernicks;William Ruh,50,7
Kenneth C. Cox;Stephen G. Eick,50,12
Baining Guo,53,16
Michael D. McCool;Wolfgang Heidrich;John Stevens,64,16
Robert A. Cross,50,3
Lisa M. Sobierajski;Ricardo S. Avila,64,17
